Ticker,Declared Date,Payable Date,Ex Date,Distrib Amount,Income,Long Gain,Short Gain,ROC
GOF,2011-2-1,2011-2-28,2011-2-11,0.154,0.13,,,
GOF,2011-1-3,2011-1-31,2011-1-12,0.154,0.13,,,
GOF,2010-12-22,2010-12-31,2010-12-27,0.027,0.027,,,S
GOF,2010-12-1,2010-12-31,2010-12-13,0.154,0.154,,,
GOF,2010-11-1,2010-11-30,2010-11-10,0.154,0.154,,,
GOF,2010-10-1,2010-10-29,2010-10-13,0.154,0.154,,,
GOF,2010-9-1,2010-9-30,2010-9-13,0.154,0.154,,,
GOF,2010-8-2,2010-8-31,2010-8-11,0.154,0.154,,,
GOF,2010-7-1,2010-7-30,2010-7-13,0.154,0.154,,,
GOF,2010-6-1,2010-6-30,2010-6-11,0.154,0.154,,,
GOF,2010-5-3,2010-5-28,2010-5-12,0.154,0.154,,,
GOF,2010-4-1,2010-4-30,2010-4-13,0.154,0.154,,,
GOF,2010-3-1,2010-3-31,2010-3-11,0.154,0.124,,0.019,
GGE,2017-2-1,2017-2-28,2017-2-13,0.485,,,0.485,
GGE,2016-11-1,2016-11-30,2016-11-10,0.485,,,0.485,
GGE,2016-8-1,2016-8-31,2016-8-11,0.485,0.0197,,0.4653,
GGE,2016-5-2,2016-5-31,2016-5-11,0.485,,,0.4046,
GGE,2016-2-1,2016-2-29,2016-2-10,0.485,,,,
GGE,2015-11-2,2015-11-30,2015-11-10,0.485,0.485,,,
GGE,2015-8-3,2015-8-31,2015-8-12,0.485,0.05617,,0.42884,
GGE,2015-5-1,2015-5-29,2015-5-13,0.485,0.0199,,0.4651,
GGE,2015-2-2,2015-2-27,2015-2-11,0.485,0.0099,,0.4751,
GGE,2014-11-3,2014-11-28,2014-11-12,0.485,0.485,,,
GGE,2014-8-1,2014-8-29,2014-8-13,0.485,0.485,,,
GGE,2014-5-1,2014-5-30,2014-5-13,0.485,0.485,,,
GGE,2014-2-4,2014-2-28,2014-2-12,0.485,,,,
GGE,2013-11-1,2013-11-29,2013-11-13,0.485,0.485,,,
GGE,2013-8-1,2013-8-30,2013-8-13,0.485,0.18585,,0.29915,
GGE,2013-5-1,2013-5-31,2013-5-13,0.485,,,,
GGE,2012-12-3,2013-2-28,2013-2-13,0.485,,,,
GGE,2012-11-1,2012-11-30,2012-11-13,0.3125,0.3125,,,
GGE,2012-8-1,2012-8-31,2012-8-13,0.3125,0.3125,,,
GGE,2012-5-1,2012-5-31,2012-5-11,0.3125,,,,
GGE,2012-2-1,2012-2-29,2012-2-13,0.3125,0.0228,,,
GGE,2011-11-1,2011-11-30,2011-11-10,0.3125,0.3125,,,
GGE,2011-8-1,2011-8-31,2011-8-11,0.3125,0.07008,,0.24242,
GGE,2011-5-2,2011-5-31,2011-5-11,0.125,0.125,,,
GGE,2011-2-1,2011-2-28,2011-2-11,0.125,0.125,,,
GGE,2010-12-22,2010-12-31,2010-12-27,0.022,0.022,,,S
GGE,2010-10-1,2010-11-30,2010-11-10,0.125,0.125,,,
GGE,2010-8-2,2010-8-31,2010-8-11,0.1,0.1,,,
GCV,2017-2-23,2017-3-24,2017-3-15,0.12,0.0288,0.0912,,
GCV,2016-11-18,2016-12-16,2016-12-7,0.05,0.012,0.038,,
GCV,2016-8-17,2016-9-23,2016-9-14,0.12,0.022,0.098,,
GCV,2016-5-19,2016-6-23,2016-6-14,0.12,0.016,0.1,0.001,
GCV,2016-2-25,2016-3-23,2016-3-14,0.12,0.016,0.1,0.001,
GCV,2015-11-19,2015-12-18,2015-12-9,0.12,0.01364,0.04968,0.02774,
GCV,2015-8-20,2015-9-23,2015-9-14,0.12,0.01364,0.04968,0.02774,
GCV,2015-5-21,2015-6-23,2015-6-12,0.12,0.013,0.038,0.042,
GCV,2015-2-17,2015-3-24,2015-3-13,0.12,0.013,0.038,0.042,
GCV,2014-11-20,2014-12-19,2014-12-10,0.15,0.01381,0.05204,0.07078,
GCV,2014-8-21,2014-9-23,2014-9-12,0.12,0.01104,0.04163,0.05663,
GCV,2014-5-14,2014-6-23,2014-6-12,0.25104,0.02208,0.04163,0.17663,
GCV,2014-2-27,2014-3-24,2014-3-13,0.12,,,0.12,
GCV,2013-11-20,2013-12-19,2013-12-11,0.12,0.0228,,0.0189,
GCV,2013-8-22,2013-9-23,2013-9-12,0.12,0.0228,,0.0189,
GCV,2013-5-17,2013-6-21,2013-6-12,0.12,0.012,0.01,0.093,
GCV,2013-2-28,2013-3-21,2013-3-12,0.12,0.012,0.01,0.093,
GCV,2012-11-19,2012-12-20,2012-12-12,0.12,0.0126,,0.0977,
GCV,2012-8-16,2012-9-21,2012-9-12,0.12,0.0126,,0.0977,
GCV,2012-5-17,2012-6-22,2012-6-13,0.12,0.012,0.01,0.093,
GCV,2012-3-1,2012-3-23,2012-3-14,0.12,0.012,0.01,0.093,
GCV,2011-11-17,2011-12-16,2011-12-9,0.12,0.01053,,0.10485,
GCV,2011-8-18,2011-9-23,2011-9-14,0.12,0.01053,,0.10485,
GCV,2011-5-26,2011-6-23,2011-6-14,0.12,0.016,,0.104,
GCV,2011-2-17,2011-3-24,2011-3-15,0.12,0.016,,0.104,
GCV,2010-11-18,2010-12-17,2010-12-10,0.14,0.015,,0.125,
GCV,2010-8-19,2010-9-23,2010-9-14,0.11,0.0118,,0.0982,
GCV,2010-5-20,2010-6-23,2010-6-14,0.11,0.0118,,0.0982,
NIE,2016-12-16,2017-1-6,2016-12-22,0.38,0.285,,,
NIE,2016-9-2,2016-9-23,2016-9-8,0.38,0.0266,,,
NIE,2016-6-3,2016-6-24,2016-6-9,0.38,0.0266,,,
NIE,2016-3-4,2016-3-24,2016-3-10,0.38,0.0266,,,
NIE,2015-12-18,2016-1-5,2015-12-23,0.38,0.0266,,,
NIE,2015-9-4,2015-9-25,2015-9-10,0.38,0.0266,,,
NIE,2015-6-5,2015-6-26,2015-6-11,0.38,0.0342,,,
NIE,2015-3-6,2015-3-27,2015-3-12,0.38,,,,
NIE,2014-12-19,2015-1-6,2014-12-24,0.38,0.38,,,
NIE,2014-9-5,2014-9-26,2014-9-11,0.38,0.38,,,
NIE,2014-6-6,2014-6-27,2014-6-12,0.28,0.28,,,
NIE,2014-3-7,2014-3-28,2014-3-13,0.28,,,,
NIE,2013-12-17,2014-1-6,2013-12-24,0.52,0.52,,,
NIE,2013-9-6,2013-9-26,2013-9-12,0.28,0.28,,,
NIE,2013-6-7,2013-6-27,2013-6-13,0.28,,,,
NIE,2013-3-8,2013-3-28,2013-3-14,0.28,,,,
NIE,2012-12-18,2013-1-7,2012-12-26,0.28,,,,
NIE,2012-9-7,2012-9-27,2012-9-13,0.28,,,,
NIE,2012-6-8,2012-6-28,2012-6-14,0.28,,,,
NIE,2012-3-9,2012-3-29,2012-3-15,0.28,,,,
CSQ,2017-2-28,2017-3-15,2017-3-8,0.0825,0.023,,0.0595,
CSQ,2017-1-31,2017-2-15,2017-2-8,0.0825,0.023,,0.0595,
CSQ,2016-12-19,2017-1-5,2016-12-28,0.0825,0.0209,,0.0616,
CSQ,2016-12-1,2016-12-15,2016-12-8,0.0825,0.0378,,0.0447,
CSQ,2016-11-7,2016-11-15,2016-11-7,0.0825,0.0119,,0.0706,
CSQ,2016-9-30,2016-10-14,2016-10-6,0.0825,0.0825,,,
CSQ,2016-9-1,2016-9-15,2016-9-8,0.0825,0.0825,,,
CSQ,2016-7-29,2016-8-15,2016-8-8,0.0825,0.0768,,0.0057,
CSQ,2016-7-1,2016-7-15,2016-7-8,0.0825,0.0825,,,
CSQ,2016-5-31,2016-6-15,2016-6-8,0.0825,0.0825,,,
CSQ,2016-4-29,2016-5-16,2016-5-9,0.0825,0.0196,,0.0629,
CSQ,2016-4-1,2016-4-15,2016-4-8,0.0825,0.0423,,0.0402,
CSQ,2016-2-29,2016-3-15,2016-3-8,0.0825,0.0341,,0.0484,
CSQ,2016-1-29,2016-2-16,2016-2-8,0.0825,0.0244,,0.0581,
CSQ,2015-12-18,2016-1-6,2015-12-29,0.0825,0.018,,0.0645,
CSQ,2015-11-30,2015-12-15,2015-12-8,0.0825,0.0336,,0.0489,
CSQ,2015-10-30,2015-11-16,2015-11-6,0.0825,0.0139,,0.0686,
